"plot_id"	"Rainfall_mm"	"Biomass_gm2"
"1"	687.577520124614	323.232171209145
"2"	1188.30513544381	800.590788053656
"3"	808.9769218117	537.207156423356
"4"	1283.01740400493	694.608617241757
"5"	1340.46728429385	917.562200047209
"6"	445.556499389932	359.173212382607
"7"	928.105488047004	566.85229978647
"8"	1292.41904439405	862.440527300327
"9"	951.435014465824	673.539936958847
"10"	856.614735303447	616.864590947895
"11"	1356.83334534988	881.34956027044
"12"	853.334156190977	593.647198188044
"13"	1077.57063545287	667.710912652939
"14"	972.633401956409	590.471357976832
"15"	502.924682665616	326.170895385098
"16"	1299.82497040182	739.327175407362
"17"	646.08773435466	418.714871653495
"18"	442.059533530846	221.901035316504
"19"	727.920719282702	653.872872832567
"20"	1354.50364914723	921.613966895374
"21"	1289.53931606375	699.397937178793
"22"	1092.8034061566	648.811086562204
"23"	1040.5068137683	614.946319282706
"24"	1394.2697766237	909.245586609938
"25"	1055.70579911582	653.968664195956
"26"	1108.53046816774	709.957238611836
"27"	944.066024711356	596.952573163349
"28"	994.14202044718	623.348474662644
"29"	689.15973729454	568.526038233154
"30"	547.113647311926	362.850827168818
"31"	1363.02423253655	950.980976249468
"32"	1302.29904511943	672.364250477271
"33"	1090.70527842268	726.657003103361
"34"	1195.46741768718	747.415419235517
"35"	424.61368450895	330.81285197944
"36"	877.795971091837	593.158942721301
"37"	1158.45953752287	676.966869388833
"38"	616.407935833558	392.367774014904
"39"	718.181007634848	393.5135235506
"40"	631.625785352662	341.650883825918
"41"	542.800022382289	402.8223036226
"42"	814.546335814521	563.85726698834
"43"	813.724326295778	531.788717601118
"44"	768.845450924709	576.646395438969
"45"	552.444747742265	547.851386108418
"46"	538.80606344901	337.060841612433
"47"	633.034099452198	243.435244647444
"48"	865.962450252846	636.738429596046
"49"	665.972640365362	389.548891194358
"50"	1257.82771534286	716.764554121187
