"Site"	"VegDensity"	"Nests"
"1"	71.6559905325994	6
"2"	97.104119299911	5
"3"	17.4876024248078	1
"4"	12.9395343596116	0
"5"	75.6549962796271	1
"6"	35.6262476416305	0
"7"	87.2570422012359	6
"8"	62.9385292995721	4
"9"	11.9449944933876	2
"10"	10.6007724069059	1
"11"	32.1889485698193	4
"12"	62.8146620234475	1
"13"	37.6773244235665	1
"14"	89.5989711629227	1
"15"	28.0729107558727	2
"16"	32.7183052664623	1
"17"	57.4952085502446	1
"18"	44.1667839419097	0
"19"	25.3854242619127	3
"20"	36.7981483461335	2
"21"	68.7070158543065	2
"22"	54.7354727517813	0
"23"	10.3820442920551	1
"24"	60.988859529607	5
"25"	69.1514804959297	2
"26"	83.1683851545677	4
"27"	28.2688283594325	1
"28"	62.8851070301607	3
"29"	32.2369985282421	4
"30"	40.4412047471851	2
"31"	43.502173316665	1
"32"	45.1095307245851	2
"33"	26.3170295627788	1
"34"	46.0186132928357	0
"35"	33.2805693848059	1
"36"	80.8841307880357	4
"37"	9.51888337731361	1
"38"	21.3623653864488	2
"39"	47.5086048711091	3
"40"	50.1924767158926	1
"41"	43.852634401992	3
"42"	87.0158839039505	2
"43"	32.2762947762385	2
"44"	26.862768526189	0
"45"	92.8473406936973	3
"46"	43.0321423104033	0
"47"	95.9723463049158	7
"48"	60.9162509208545	2
"49"	75.0358323566616	7
"50"	75.5972855491564	5
"51"	46.5125068789348	1
"52"	78.517837706022	3
"53"	88.4877094998956	3
"54"	23.4847634797916	2
"55"	58.3097743336111	0
"56"	17.4861507024616	0
"57"	2.80014523304999	1
"58"	53.9416486397386	3
"59"	36.6596344858408	2
"60"	5.72560108266771	3
"61"	22.3303768318146	4
"62"	23.7484899582341	2
"63"	32.0644015679136	1
"64"	1.20231641922146	1
"65"	78.2526594819501	3
"66"	86.336856149137	8
"67"	75.2459652721882	8
"68"	52.3048135917634	4
"69"	90.4564827913418	2
"70"	49.5356967439875	0
"71"	32.3603658936918	0
"72"	59.3845611205325	4
"73"	48.9381706342101	1
"74"	89.9826017441228	4
"75"	75.408723950386	2
"76"	22.2977597266436	0
"77"	64.5494396332651	1
"78"	51.8012624233961	4
"79"	78.4412535838783	5
"80"	38.8692690758035	1
"81"	53.4601329592988	0
"82"	97.6954775629565	3
"83"	13.7189418775961	1
"84"	57.5114964740351	0
"85"	28.5167599795386	4
"86"	30.8317947201431	4
"87"	69.5186038501561	3
"88"	79.9948482308537	7
"89"	50.9070938453078	0
"90"	93.2854189770296	5
"91"	7.77312538120896	1
"92"	90.9249109914526	4
"93"	66.0350595833734	2
"94"	23.0035646352917	0
"95"	66.1447953665629	1
"96"	21.7504245229065	1
"97"	71.619224967435	3
"98"	6.39661375898868	0
"99"	58.4794652881101	0
"100"	79.295918950811	3
"101"	1.86186097562313	0
"102"	0.0636004144325852	1
"103"	35.1505608297884	2
"104"	11.6933296434581	1
"105"	48.6286130500957	1
"106"	94.7215740568936	8
"107"	92.1426606131718	3
"108"	64.4413478905335	1
"109"	65.8174139913172	5
"110"	6.19693896733224	0
"111"	41.5437214775011	3
"112"	1.93485342897475	0
"113"	44.0914302598685	3
"114"	16.7134044924751	0
"115"	57.6952776638791	0
"116"	0.784393306821585	0
"117"	26.713652908802	2
"118"	89.3642551964149	8
"119"	14.3104486400262	3
"120"	99.7469584224746	8
"121"	39.9154373910278	0
"122"	29.6098622260615	2
"123"	84.0132565004751	3
"124"	90.9332530805841	2
"125"	94.364272733219	6
"126"	47.4224095232785	2
"127"	11.3238153746352	0
"128"	45.2761503634974	1
"129"	70.1805516844615	1
"130"	51.5112505527213	4
"131"	59.3482738593593	5
"132"	55.8287074789405	2
"133"	80.532723874785	7
"134"	89.5958403591067	5
"135"	39.4063624087721	3
"136"	20.598184177652	0
"137"	77.40937480703	3
"138"	37.4164965003729	1
"139"	14.7600895259529	1
"140"	66.4928645594046	4
"141"	93.3283995138481	4
"142"	97.386225243099	4
"143"	99.5082984212786	3
"144"	97.5034845294431	11
"145"	63.7926412979141	4
"146"	20.722067495808	1
"147"	29.5009705936536	0
"148"	17.7473335526884	0
"149"	38.8176075415686	1
"150"	5.35120638087392	2
