"plot_id"	"Rainfall_mm"	"Biomass_gm2"
"1"	773.850776161999	224.604845605406
"2"	1424.79667607695	686.941633990341
"3"	931.66999835521	434.937848769005
"4"	1547.92262520641	578.118095121609
"5"	1622.607469582	799.348181518394
"6"	459.223449206911	267.80651740091
"7"	1086.5371344611	461.00913514506
"8"	1560.14475771226	745.667955968506
"9"	1116.86551880557	566.996886524872
"10"	993.599155894481	513.166148888791
"11"	1643.88334895484	762.644559909944
"12"	989.334403048269	490.047173502315
"13"	1280.84182608873	557.383793589353
"14"	1144.42342254333	483.292355918139
"15"	533.802087465301	233.08315490513
"16"	1569.77246152237	622.332426295307
"17"	719.914054661058	321.332239622855
"18"	454.6773935901	130.639249310579
"19"	826.296935067512	554.035251254086
"20"	1640.8547438914	802.978857420958
"21"	1556.40111088287	582.71175769688
"22"	1300.64442800358	538.026984377506
"23"	1232.65885789879	505.731114869657
"24"	1692.5507096108	789.417493311227
"25"	1252.41753885057	544.297490222481
"26"	1321.08960861806	598.701324566804
"27"	1107.28583212476	490.630592422009
"28"	1172.38462658133	515.524214049228
"29"	775.907658482902	469.851246114317
"30"	591.247741505504	268.43741774946
"31"	1651.93150229752	832.090249273371
"32"	1572.98875865526	555.295279123688
"33"	1297.91686194949	615.935844750681
"34"	1434.10764299333	633.551396704901
"35"	431.997789861634	240.074441444172
"36"	1021.13476241939	488.825063588546
"37"	1385.99739877973	564.213083263147
"38"	681.330316583626	295.875535939897
"39"	813.635309925303	293.968093321554
"40"	701.113520958461	244.702110265338
"41"	585.640029096976	308.538302951131
"42"	938.910236558877	461.420876913905
"43"	937.841624184512	429.376987812245
"44"	879.499086202122	475.581031911228
"45"	598.178172064945	453.27804367615
"46"	580.447882483713	242.896659708963
"47"	702.944329287857	146.444221663878
"48"	1005.7511853287	532.75955608846
"49"	745.764432474971	291.569711983397
"50"	1515.17602994572	601.029722660901
