"site"	"presence"	"nests"	"veg"	"water"	"preds"
1	0	0	73.2620154973119	358.50883470956	3.14611591911511
2	1	1	47.5761432433501	208.043902781495	2.54274235243669
3	0	0	51.4215854695067	193.612624018737	1.60450547832882
4	0	0	49.8432256514207	1542.00574447402	1.68682539719504
5	0	0	78.0284523731098	1108.0484197519	1.58703264693206
6	0	0	50.4252158803865	592.393302708059	1.14407882927064
7	0	0	89.840029948391	1285.00780549369	2.36063918471421
8	0	0	12.7852681325749	469.512845918815	2.88515939331157
9	0	0	64.4672081805766	1088.24440903772	2.6376895849307
10	1	3	56.9531054468825	701.097554234521	1.40166370589024
11	0	0	43.5316557064652	477.914186370809	1.73672025119975
12	1	1	95.2326479367912	428.640553301043	2.06092862865419
13	0	0	65.4357529012486	1404.38821696408	1.31279408534765
14	0	0	2.38356546033174	813.974532160928	1.6095688920241
15	0	0	46.8122875085101	779.983113103072	4.31580049754071
16	0	0	85.7343155890703	834.729270199295	0.693483159619725
17	0	0	36.5060277050361	654.467739850854	1.91896638936414
18	0	0	36.557495011948	446.488747730767	2.69827741437444
19	1	2	75.8707619039342	219.618892934429	1.43657054663335
20	0	0	10.7579351169989	964.060466533939	0.773331445189958
21	0	0	34.6164503134787	194.060085176867	3.6040197096274
22	0	0	81.4655315130949	1025.34720032817	1.46841907342088
23	0	0	3.96250281482935	570.570981442193	1.3972256290946
24	0	0	71.5316921239719	854.146949036061	2.68881769491172
25	0	0	33.6890769656748	353.193565684134	5.36490431840422
26	1	0	91.8402276700363	610.924811066492	2.90805806086557
27	0	0	77.7837318601087	956.230238597361	2.08421804847286
28	0	0	19.9156004702672	722.517227045069	1.26855114208157
29	0	0	85.6824816204607	698.969593850421	3.51167959699695
30	0	0	25.9612958878279	474.451170256288	1.55376898889646
31	0	0	42.3206828068942	719.273071756155	1.79607974130335
32	0	0	14.3589275423437	225.129475951866	1.53694566868146
33	0	0	47.9205775074661	576.925482199338	1.22408492788642
34	0	0	54.5584957813844	540.151240668433	2.67673598458328
35	1	0	66.1906097549945	375.073731114407	1.72347256716693
36	0	0	11.4041356369853	953.85969429741	2.21613198418033
37	0	0	9.46430405601859	1415.17630105095	0.952578597723181
38	0	0	17.6701231161132	607.619907691285	2.61021961923267
39	0	0	99.24301286228	248.90631609011	1.73967130296291
40	0	0	90.5312501825392	702.806056462286	3.36370751775639
41	1	3	40.3394441353157	43.0166621014108	1.16337330752891
42	1	4	93.0466564605013	543.248761186033	1.52888036221419
43	0	0	76.8460235791281	1306.33526577251	0.850520049935865
44	0	0	81.4684478100389	534.650278822616	1.2774026551748
45	0	0	99.7833079891279	379.844775818563	2.11150476501551
46	0	0	81.3245704164729	1080.21634801114	2.28842805463824
47	0	0	74.9057029373944	961.190723538803	4.23886360486795
48	1	1	13.1075215991586	315.642109971329	1.29177076499886
49	0	0	45.3886009287089	798.977770211367	2.35629322858786
50	1	1	54.079125658609	656.839446648537	1.46848804774493
51	0	0	9.65689956210554	90.7781353425355	1.69399053345321
52	0	0	73.6002516699955	248.010230760887	2.8182455294451
53	1	0	17.9361725924537	708.027799737018	3.05931761950044
54	1	2	13.1597951054573	683.908054681861	5.38009287454228
55	1	0	52.0224108360708	821.45174352249	1.46438637387028
56	0	0	35.8448968268931	359.291705081258	2.04215002957099
57	0	0	35.1923391222954	966.445087733984	1.15152019428599
58	0	0	59.0138809755445	384.137429442834	1.91806083546881
59	0	0	76.5044879866764	693.492306192188	1.00382227763315
60	0	0	60.0778343854472	1135.64612496798	1.70322556513122
61	0	0	15.2502930955961	429.150781054268	2.33533384833176
62	0	0	74.204021319747	720.936292112022	2.64288003437062
63	1	1	96.5610639657825	271.020979164827	3.37895320061207
64	0	0	21.7411768389866	174.472853918028	2.23462472132033
65	0	0	10.1967972004786	1168.58753783689	1.5985295555787
66	0	0	76.7807918833569	1661.72557332402	1.60532583765436
67	0	0	72.2007568227127	340.191229254674	2.02916651341775
68	0	0	33.2755285548046	886.512679214884	1.30638631995064
69	0	0	26.295774942264	821.084393505584	2.20122566276181
70	0	0	18.5802643885836	666.458456035341	4.50633775760714
71	0	0	10.2789584780112	799.747125076961	3.29702371734183
72	1	2	99.572537234053	1061.89649180392	2.46461935676747
73	0	0	61.1698633525521	1029.75742602925	1.40649747827771
74	1	1	43.026438052766	134.061313197099	4.63264173012527
75	0	0	6.92019290290773	754.835329803535	1.67807823928016
76	0	0	49.5865207631141	853.69386373516	2.59287468311034
77	0	0	81.9083959329873	792.50761212123	1.39351596064287
78	0	0	60.5527025880292	399.960887029884	1.81759506946996
